Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,,19,,,,,Mbështetje teknike për hartimin e planit të menaxhimit të Parkut Gërmia,,,,11.03.19,,,27.03.19,0,0,,0,,,,,,,"25,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Flamur Sallahu
1,1,17,2,2,1,29,"Inçizimet gjeodezike per Zonen Ekonomike,Mati 3 dhe Zllatar ",13.02.19,15.02.19,04.03.19,11.03.19,,,01.04.19,0,0,,0,,,,,,,"100,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shqipe Isufi
1,1,32,2,2,1,,Transporti i nxënësve dhe arsimtarëve - Lot 1,15.02.19,19.02.19,10.03.19,14.03.19,,,08.04.19,0,0,,0,,,,,,,"3,790.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,32,2,2,1,,Transporti i nxënësve dhe arsimtarëve - Lot 2,15.02.19,19.02.19,10.03.19,14.03.19,,,08.04.19,0,0,,0,,,,,,,"6,650.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,32,2,2,1,,Transporti i nxënësve dhe arsimtarëve - Lot 3,15.02.19,19.02.19,10.03.19,14.03.19,,,08.04.19,0,0,,0,,,,,,,"9,120.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,32,2,2,2,,Transporti i nxënësve dhe arsimtarëve - Lot 4,15.02.19,19.02.19,10.03.19,14.03.19,,,08.04.19,0,0,,0,,,,,,,"9,310.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
,,37,2,3,6,,Shënimi i ditëve mjedisore sipas kalendarit mjedisor,27.02.19,12.03.19,11.03.19,15.03.19,,,19.03.19,0,0,,0,,,,,,,"6,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Valmire Mustafa
2,1,20,1,2,1,31,"Furnizimi me material elektrik, matrial hidrosanitar, material te bravarise, vegla dhe rroba pune per nevojat e Komunes se Prishtines - Lot 1",,,,15.03.19,,,08.04.19,0,0,,0,,,,,,,"93,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shqipe Isufi
2,1,20,1,2,1,31,"Furnizimi me material elektrik, matrial hidrosanitar, material te bravarise, vegla dhe rroba pune per nevojat e Komunes se Prishtines - Lot 2",,,,15.03.19,,,08.04.19,0,0,,0,,,,,,,"93,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shqipe Isufi
2,1,20,1,2,1,31,"Furnizimi me material elektrik, matrial hidrosanitar, material te bravarise, vegla dhe rroba pune per nevojat e Komunes se Prishtines - Lot 3",,,,15.03.19,,,08.04.19,0,0,,0,,,,,,,"93,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shqipe Isufi
2,1,20,1,2,1,31,"Furnizimi me material elektrik, matrial hidrosanitar, material te bravarise, vegla dhe rroba pune per nevojat e Komunes se Prishtines - Lot 4",,,,15.03.19,,,08.04.19,0,0,,0,,,,,,,"93,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shqipe Isufi
,,18,,,,,Konkurs projektimi për Hartim të projektit ideor arkitektonik Qendra e mjekësisë familjare në Lagjen Prishtina e Re - Zona e Perëndimit,,27.02.19,,15.03.19,,,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa 
1,1,36,2,2,1,77,"Vaksionimi i gjedheve, deleve, dhive dhe qenve shtëpiak",05.03.19,08.03.19,10.03.19,18.03.19,,,08.04.19,0,0,,0,,,,,,,"50,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Bujqësis,Nexhmi Mekolli
,,41,1,1,1,,"Furnizimi,prodhimi dhe vendosja e numrave të adresave në Komunën e Prishtinës",,,,22.03.19,,,25.04.19,0,0,,0,,,,,,,"160,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Urbanizmit,Shehide Jashari
1,1,48,5,2,1,45,"Ndërtimi i mureve rezistuese ndaj rrëshqitjes se dheut, vërshimeve",22.03.19,13.03.19,20.03.19,25.03.19,,,17.04.19,0,0,,0,,,,,,,"50,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Valmire Mustafa
,,47,5,2,1,,Rregullimi dhe montimi i pompave per furnizim me uje ne ndertesat kolektive,,,,25.03.19,,,16.04.19,0,0,,0,,,,,,,"70,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
1,1,45,1,2,1,,FURNIZIMI ME PAJISJE TEKNOLOGJIKE PËR OBJEKTET KOMUNALE DHE BASHKËSITË LOKALE - LOT 1,21.03.19,,,25.03.19,,,18.04.19,0,0,,0,,,,,,,"97,230.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Administratës,Kaltrina Dalipi
1,1,45,1,2,1,,FURNIZIMI ME PAJISJE TEKNOLOGJIKE PËR OBJEKTET KOMUNALE DHE BASHKËSITË LOKALE - LOT 2,21.03.19,,,25.03.19,,,18.04.19,0,0,,0,,,,,,,"97,230.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Administratës,Kaltrina Dalipi
1,1,45,1,2,1,,FURNIZIMI ME PAJISJE TEKNOLOGJIKE PËR OBJEKTET KOMUNALE DHE BASHKËSITË LOKALE - LOT 3,21.03.19,,,25.03.19,,,18.04.19,0,0,,0,,,,,,,"97,230.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Administratës,Kaltrina Dalipi
,1,42,1,2,1,36,Furnizimi me dy autoambulanca per nevojat e QMU-se,,,,,,,16.04.19,0,0,,0,,,,,,,"120,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Shëndetësisë,Albina Bajrami
