Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(2),Data e nënshkrimit të Aneks kontratës(2),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(3),Data e nënshkrimit të Aneks kontratës(3),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(4),Data e nënshkrimit të Aneks kontratës(4),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Data e pagesës së situacionit(2),Shuma e pagesës së situacionit(2),Data e pagesës së situacionit(3),Shuma e pagesës së situacionit(3),Data e pagesës së situacionit(4),Shuma e pagesës së situacionit(4),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,,147,2,2,1,,Transporti i nxënësve dhe arsimtarëve III-Loto 5-Lagja Suteskë -Mramor (Shkollë) dhe anasjelltas,13.12.17,12.12.17,12.12.17,15.12.17,n/a,n/a,11.01.18,12,1,22.01.18,4,09.02.18,12.02.18,,15.02.18,0,0,"7,900.00",1,1,1,jo,4,Tempo trans,22.02.18,12 Muaj,,"3,701.40",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa
1,1,1,2,1,,74,Pastrimi i objekteve shkollore,27.12.17,27.12.18,27.12.17,,n/a,n/a,16.01.18,,2,17.01.18,1,09.01.18,17.01.18,,17.01.18,0,0,"200,000.00",1,1,1,jo,4,MSS,19.01.18,6 Muaj,,"166,149.84",,,375501.30,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
1,1,2,1,2,1,33,Furnizimi me instrumente gjeodezike ,18.07.17,21.07.17,09.01.18,24.01.18,1,2,28.05.18,9,2,,1,18.07.18,25.07.18,,18.07.18,0,0,"35,000.00",1,1,1,Po,3,Geotech,30.07.18,60 Ditë,,"33,480.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kadastrit,Shqipe Isufi
,1,3,1,3,6,30,Furnizim per zyre me material te shtypur dhe materiale tjera,18.01.17,17.01.18,19.01.18,24.01.18,n/a,n/a,30.01.18,36,11,20.02.18,0,11.01.18,29.01.18,,20.02.18,0,0,"9,999.00",1,1,1,jo,4,Europrinty,27.02.18,30 Ditë,,"5,533.00",1,,,,,,,,,27.03.18,,,,,,,,,,,NaN,Drejtoria e Administratës,Verona Sekiraqa 
,1,4,1,2,1,30,Furnizim me dy aparate për dhënje të biletave për nevoja të QKMF-së,23.01.18,15.09.17,22.01.18,24.01.18,n/a,n/a,14.02.18,35,1,27.02.18,0,15.09.17,20.02.18,,14.03.18,0,0,"15,000.00",1,1,1,jo,4,AFA-ING,26.03.18,30 Ditë,,"10,812.32",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Verona Sekiraqa 
,1,5,1,2,1,30,Furnizimi me qumësht për punëtorët e Komunës së Prishtinës,10.01.18,17.01.18,19.01.18,26.01.18,n/a,n/a,20.02.18,12,3,16.02.18,,01.01.18,31.05.18,19.03.18,14.05.18,,,"99,000.00",,,,,3,,14.06.18,36 Muaj,13.06.21,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Albina Bajrami
1,1,6,1,1,1,15,Furnizimi me artikuj ushqimor për Kuzhinën Qendrore ,09.01.18,10.01.18,29.01.18,01.02.18,,,13.03.18,19,4,28.03.18,0,11.04.18,11.04.18,,12.04.18,0,0,"300,000.00",1,1,1,jo,4,New Line,29.05.18,12 Muaj,29.05.19,"275,643.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,1,7,1,1,1,21,Furnizimi me drunjë dekorativ në hapësirat dhe parqet e qytetit,30.01.18,17.01.17,26.01.18,30.01.18,,,07.03.18,6,6,,2,,26.10.18,,,,,"150,000.00",1,1,1,,,"N.T.P. ""Lulishtja Buçaj""",30.10.18,10 Muaj,11.09.18,"126,240.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,8,1,2,1,36,Furnizimi me rekuizita sportive për shkollat e komunës së Prishtinës ,31.01.18,29.01.18,31.01.18,02.02.18,1,1,23.02.18,33,5,,3,11.04.18,04.07.18,,02.07.18,0,0,"50,000.00",,1,1,jo,4,Vlora,17.09.18,60 Ditë,17.11.18,"46,458.00",2,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Nexhmi Mekolli
1,1,9,1,2,1,29,"Blerja e pajisjeve hidraulike për AKRR,gypa-zorrë dhe ekstrakt-shkum BPZ",11.01.18,11.01.18,26.01.18,05.02.18,1,2,26.02.18,14,2,30.03.18,1,11.04.18,23.07.18,,22.07.18,2,1,"43,000.00",1,1,1,jo,4,Albkos,14.08.18,90 Ditë,,"41,675.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Valmire Mustafa
1,1,10,5,1,2,45,Rrethrrotullimi Lakrishtë-Rrethrrotullimi Arbëri,08.05.18,08.05.18,08.05.18,11.05.18,n/a,,11.06.18,64,5,,,28.09.18,18.12.18,,26.11.18,2,1,"1,438,180.00",1,1,1,jo,4,RSM Company,18.12.18,90 Ditë,,"1,149,998.87",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
1,1,12,5,1,1,45,Ndërtimi i rrjetit të kanalizimit në lagjet e reja,13.06.18,04.06.18,07.06.18,13.06.18,,,12.07.18,67,9,,8,04.09.18,25.10.18,,03.09.18,2,1,1075226.10,1,1,1,,4,Gashi Ing&Rahovica,31.10.18,120 Ditë,,"933,447.35",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
,1,5,1,2,1,30,Furnizimi me qumësht për punëtorët e Komunës së Prishtinës- RITENDER,10.01.18,17.01.18,19.01.18,16.04.18,n/a,n/a,04.05.18,12,3,,0,01.01.18,31.05.18,,17.06.18,,,"99,000.00",1,1,1,Po,4,Hajdini comerc,14.06.18,36 Muaj,,"94,608.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Albina Bajrami
1,1,2,1,2,1,33,Furnizimi me instrumente gjeodezike - Ritender,18.07.17,21.07.17,09.01.18,03.05.18,1,n/a,28.05.18,9,2,,1,18.07.18,25.07.18,,18.07.18,,,"35,000.00",1,1,1,Po,4,Geotech,30.07.18,60 Ditë,,"33,480.00",,,,,,,,,,17.10.18,"33,480.00",,,,,,,,,,NaN,Drejtoria e Kadastrit,Shqipe Isufi
1,1,25,2,1,1,93,Mirëmbajtja dimërore e rrugëve,24.07.18,02.08.18,16.08.18,23.08.18,1,2,13.11.18,46,8,,,,,,,,,"1,650,000.00",,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
1,1,26,5,1,1,45,Ndërtimi i parkut në Arbëri,13.03.18,16.04.18,20.04.18,23.04.18,,,06.06.18,123,10,,7,18.07.18,,,28.10.18,1,,"540,053.08",1,1,1,,4,Rexha Sh.P.K,23.01.19,90 Ditë,,"362,878.72",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi
,,29,5,2,1,45,Rregullimi i vendeve të kontejnerve në zonën urbane të qytetit,01.12.17,12.12.17,05.02.18,07.02.18,n/a,,06.03.18,66,12,26.03.18,3,11.04.18,12.04.18,,13.04.18,0,0,"150,000.00",1,1,1,,,N.N.P.  Ndërtimtari ,14.03.18,120 Ditë,,"101,208.95",,,,,,,,,,04.07.18,,25.07.18,,16.10.18,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Albina Bajrami
2,1,30,1,2,1,20,Furnizim me inventarë për shkolla,06.02.18,29.01.18,30.01.18,06.02.18,n/a,n/a,02.03.18,56,5,,1,22.03.18,26.03.18,,28.03.18,0,0,"80,000.00",1,1,1,jo,4,Burimi Dekor,11.04.18,12 Muaj,,"76,890.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
,1,31,2,1,1,30,"Mirëmbajtja, furnizimi dhe rregullimi i 16 (gjashtëmbëdhjetë) pikave të sistemit të alarmit publik",06.02.18,29.01.18,30.01.18,06.02.18,,,07.03.18,25,1,15.03.18,,29.01.18,22.03.18,,22.03.18,,,"30,000.00",1,1,1,,1,DUGAGJIN RUDI B.I.,10.04.18,36 Muaj,09.04.21,"29,900.00",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Flamur Sallahu
,1,32,1,2,1,20,Furnizimi  me pelet,02.02.18,06.02.18,07.02.18,07.02.18,n/a,n/a,06.03.18,27,8,15.03.18,3,11.04.18,16.04.18,,18.04.18,0,0,"65,000.00",1,1,1,jo,4,Ajroni Com,03.05.18,12 Muaj,,"51,240.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Shqipe Isufi
1,1,33,1,2,1,21,Furnizimi i institucioneve parashkollore me material didaktik,01.02.18,02.02.18,07.02.18,12.02.18,n/a,n/a,05.03.18,16,2,11.04.18,,16.04.18,16.04.18,,17.04.18,0,0,"19,000.00",1,1,1,jo,4,Grafo-Loni,03.05.18,60 Ditë,,"16,636.51",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
,1,34,1,2,1,36,Furnizim me dru,02.02.18,06.02.18,07.02.18,07.02.18,n/a,,06.03.18,15,5,14.03.18,5,,,14.03.18,17.03.18,,,"47,000.00",1,1,,,3,,,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
,1,34,1,2,1,36,Furnizim me dru- RITENDER,02.02.18,06.02.18,07.02.18,05.04.18,n/a,,30.04.18,14,3,22.05.18,1,31.05.18,31.05.18,,30.05.18,0,0,"47,000.00",1,1,1,Po,4,Bushgegu,10.07.18,12 Muaj,12.06.19,"52,800.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,35,1,2,1,21,Furnizim i bibliotekave shkollore me libra,12.02.18,09.02.18,09.02.18,12.02.18,,,05.03.18,,2,,,,,03.04.18,,,,"40,000.00",,,,,3,,,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,35,1,2,1,21,Furnizim i bibliotekave shkollore me libra-RITENDER,12.02.18,09.02.18,09.02.18,28.05.18,,,08.05.18,,1,,,,28.05.18,,24.05.18,,,"40,000.00",1,1,1,Po,,NTP ARTINI,05.06.18,60 Ditë,,"39,902.25",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
,,36,2,1,1,74,Deratizimi i podrumeve dhe garazheve publike dhe i rrjetit të kanalizimit të qytetit të Prishtinës-lloto 1,06.03.18,21.02.18,06.03.18,09.03.18,n/a,n/a,20.04.18,29,4,,2,11.05.18,12.05.18,,14.05.18,1,0,"135,000.00",1,1,1,jo,4,Ekologjia,07.06.18,36 Muaj,06.06.21,"130,320.00",6,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Verona Sekiraqa 
1,1,37,2,2,1,74,"Dezinfektimi, dezinsektimi dhe deratizimi i institucioneve arsimore",20.02.18,29.04.18,13.02.18,22.02.18,n/a,n/a,16.03.18,21,2,,1,11.04.18,11.04.18,,13.04.18,0,0,"30,000.00",1,1,1,n/a,4,EKO DDD,25.04.18,12 Muaj,,"23,759.18",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
,1,38,1,2,1,36,Furnizimi dhe montimi i xhamave në shkollat dhe Institucionet tjera komunale,08.02.18,21.02.18,21.02.18,02.03.18,,,22.03.18,27,3,12.04.18,0,16.04.18,19.04.18,,17.04.18,0,0,"60,000.00",1,1,1,jo,4,Termoplast,23.05.18,12 Muaj,,"48,710.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
,1,39,2,2,1,93,Manifestimi i ditëve ndërkombëtare mjedisore sipas kalendarit mjedisor,12.02.18,21.02.18,22.02.18,22.02.18,n/a,n/a,05.03.18,13,3,14.03.18,2,11.04.18,17.04.18,,19.04.18,0,0,"5,000.00",1,1,1,jo,4,Ekovizion,30.04.18,7 Muaj,,"3,878.00",,,,,,,,,,12.10.18,"3,878.00",,,,,,,,,,NaN,Drejtoria e Planifikimit Strategjik dhe Zhvillim të Qëndrueshëm,Shqipe Isufi
,1,40,2,3,6,30,"Sigurimi, vendosja e pajisjeve dhe shërbimet e monitorimit të sistemit të alarmit",26.02.18,09.02.18,07.02.18,02.04.18,,,10.04.18,11,1,,,,25.04.18,,30.04.18,0,0,"4,500.00",1,1,1,jo,4,DELTA SECURITY,02.05.18,12 Muaj,01.05.19,"1,404.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Flamur Sallahu
1,1,41,2,1,1,74,Dezinsektimi hapësinor i Komunës së Prishtinës,14.02.18,21.02.18,27.02.18,01.03.18,n/a,n/a,17.04.18,19,3,30.04.18,,02.05.18,07.05.18,,08.05.18,0,0,"630,000.00",1,1,1,jo,4,Truly Nolen ,18.05.18,36 Muaj,17.05.21,"615,960.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Valmire Mustafa
1,1,42,2,2,1,77,"Vaksionimi i gjedheve, kafshëve të imëta dhe qenve shtëpiak ",21.02.18,05.03.18,13.03.18,17.03.18,1,1,06.04.18,12,2,,1,08.05.18,22.06.18,,21.06.18,1,1,"30,000.00",1,1,1,,4,Preventiva vet,05.07.18,2 Muaj,,"28,750.00",2,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Bujqësis,Nexhmi Mekolli
2,1,43,1,2,1,30,"Furnizim me llaptop, projektor dhe aparate fotokopjuse",05.03.18,05.03.18,13.03.18,20.03.18,,,26.04.18,44,12,,3,31.05.18,30.08.18,,31.05.18,2,0,"80,000.00",1,1,1,,2,Infinit shpk&Graftek,11.09.18,60 Ditë,,"74,665.00",,20.11.18,"5,292.30",,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
